2026-09-03 06:46:03,045 | INFO | __main__ | Run started for npa_simple.sql
2026-09-03 06:46:03,046 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 06:46:03,048 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 06:46:03,049 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 06:46:03,051 | INFO | logic_rules_extractor.pipeline | Detected ORACLE dialect (confidence: high)
2026-09-03 06:46:03,052 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.00s (dialect detection)
2026-09-03 06:46:03,054 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /tmp/tmpphsvohi6.sql
2026-09-03 06:46:03,103 | INFO | logic_rules_extractor.pipeline | Detected ORACLE PROCEDURE 'classify_npa_and_provision' with 3 chunk(s)
2026-09-03 06:46:03,105 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.05s (preprocessing/parsing/chunking)
2026-09-03 06:46:03,105 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 06:46:03,107 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.00s
2026-09-03 06:46:07,511 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 4.40s total (kb_ready=0.00s, retrieval/KB sum=0.00s, LLM extraction sum=8.11s, workers=8, chunks=3)
2026-09-03 06:46:07,512 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-09-03 06:46:14,971 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 7.46s (business reasoning)
2026-09-03 06:46:14,972 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Reconciling deterministic evidence against synthesized output
2026-09-03 06:46:14,976 | INFO | logic_rules_extractor.pipeline | Stage 6/6 completed in 0.00s (deterministic reconciliation)
2026-09-03 06:46:14,977 | INFO | logic_rules_extractor.pipeline | Stage 7/7: Applying output guardrails and formatting final report
2026-09-03 06:46:14,985 | INFO | logic_rules_extractor.pipeline | Stage 7/7 completed in 0.01s (final report generation)
