2026-09-03 12:09:10,494 | INFO | __main__ | Run started for PRO.Update_AssetClass.StoredProcedure.sql
2026-09-03 12:09:10,495 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 12:09:10,499 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 12:09:10,501 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 12:09:10,505 | INFO | logic_rules_extractor.pipeline | Detected TSQL dialect (confidence: high)
2026-09-03 12:09:10,507 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.00s (dialect detection)
2026-09-03 12:09:10,515 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /tmp/tmp5qd974q6.sql
2026-09-03 12:09:10,871 | INFO | logic_rules_extractor.pipeline | Detected TSQL PROCEDURE 'Update_AssetClass' with 4 chunk(s)
2026-09-03 12:09:10,874 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.36s (preprocessing/parsing/chunking)
2026-09-03 12:09:10,876 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 12:09:10,879 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.00s
2026-09-03 12:09:21,404 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 10.53s total (kb_ready=0.00s, retrieval/KB sum=0.36s, LLM extraction sum=16.45s, workers=8, chunks=4)
2026-09-03 12:09:21,406 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-09-03 12:09:48,248 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 26.84s (business reasoning)
2026-09-03 12:09:48,250 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Reconciling deterministic evidence against synthesized output
2026-09-03 12:09:48,263 | INFO | logic_rules_extractor.pipeline | Stage 6/6 completed in 0.01s (deterministic reconciliation)
2026-09-03 12:09:48,265 | INFO | logic_rules_extractor.pipeline | Stage 7/7: Applying output guardrails and formatting final report
2026-09-03 12:09:48,292 | INFO | logic_rules_extractor.pipeline | Stage 7/7 completed in 0.02s (final report generation)
