2026-08-24 17:21:30,922 | INFO | __main__ | Run 5 started for PRO.SMA_MARKING_12122023.StoredProcedure.sql
2026-08-24 17:21:30,922 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-08-24 17:21:30,924 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-08-24 17:21:30,924 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-08-24 17:21:30,939 | INFO | logic_rules_extractor.pipeline | Detected tsql dialect (confidence: high)
2026-08-24 17:21:30,939 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.01s (dialect detection)
2026-08-24 17:21:30,939 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /var/folders/d5/q6cyw5854xz1ksr1wj0fmf5r0000gn/T/tmpssrabrz0.sql
2026-08-24 17:21:31,344 | INFO | logic_rules_extractor.pipeline | Detected tsql PROCEDURE 'SMA_MARKING_12122023' with 9 chunk(s)
2026-08-24 17:21:31,344 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.40s (preprocessing/parsing/chunking)
2026-08-24 17:21:31,344 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: gpt-4.1)
2026-08-24 17:21:31,352 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.01s
2026-08-24 17:21:33,979 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:21:39,204 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:21:41,974 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:21:42,585 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:21:43,916 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:21:45,559 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:21:45,724 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:21:48,239 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:21:48,446 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:21:48,453 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 17.11s total (kb_ready=0.01s, retrieval/KB sum=0.07s, LLM extraction sum=62.52s, workers=4, chunks=9)
2026-08-24 17:21:48,453 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-08-24 17:21:48,464 | WARNING | sqlglot | 'Declare @vEffectiveto INT Set @vEffectiveto= (select Timekey-1  FROM [dbo].Automate_Advances WHERE E' contains unsupported syntax. Falling back to parsing as a 'Command'.
2026-08-24 17:23:22,208 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:23:22,414 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 93.96s (business reasoning)
2026-08-24 17:23:22,414 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Applying output guardrails and formatting final report
2026-08-24 17:25:43,876 | INFO | __main__ | Run 5 started for PRO.SMA_MARKING_12122023.StoredProcedure.sql
2026-08-24 17:25:43,876 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-08-24 17:25:43,879 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-08-24 17:25:43,879 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-08-24 17:25:43,893 | INFO | logic_rules_extractor.pipeline | Detected tsql dialect (confidence: high)
2026-08-24 17:25:43,893 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.01s (dialect detection)
2026-08-24 17:25:43,894 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /var/folders/d5/q6cyw5854xz1ksr1wj0fmf5r0000gn/T/tmpa245_38w.sql
2026-08-24 17:25:44,297 | INFO | logic_rules_extractor.pipeline | Detected tsql PROCEDURE 'SMA_MARKING_12122023' with 9 chunk(s)
2026-08-24 17:25:44,297 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.40s (preprocessing/parsing/chunking)
2026-08-24 17:25:44,297 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: gpt-4.1)
2026-08-24 17:25:44,306 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.01s
2026-08-24 17:25:45,776 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:25:51,114 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:25:54,702 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:25:55,179 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:25:56,535 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:25:57,871 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:25:58,262 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:26:00,533 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:26:00,708 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 17:26:00,713 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 16.42s total (kb_ready=0.01s, retrieval/KB sum=0.08s, LLM extraction sum=60.08s, workers=4, chunks=9)
2026-08-24 17:26:00,713 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-08-24 17:26:00,730 | WARNING | sqlglot | 'Declare @vEffectiveto INT Set @vEffectiveto= (select Timekey-1  FROM [dbo].Automate_Advances WHERE E' contains unsupported syntax. Falling back to parsing as a 'Command'.
2026-08-24 17:27:31,935 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
