2026-09-03 09:56:51,928 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 09:56:51,929 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 09:56:51,929 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 09:56:51,929 | INFO | logic_rules_extractor.pipeline | Detected ORACLE dialect (confidence: medium)
2026-09-03 09:56:51,929 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.00s (dialect detection)
2026-09-03 09:56:51,929 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /Users/dishajain/Desktop/logic_rules_extractor/samples/provisioning_summary_view.sql
2026-09-03 09:56:51,932 | INFO | logic_rules_extractor.pipeline | Detected ORACLE VIEW 'VW_PROVISION_SUMMARY' with 1 chunk(s)
2026-09-03 09:56:51,933 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.00s (preprocessing/parsing/chunking)
2026-09-03 09:56:51,933 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 09:56:51,935 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.00s
2026-09-03 09:56:54,426 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 2.49s total (kb_ready=0.00s, retrieval/KB sum=0.00s, LLM extraction sum=2.49s, workers=8, chunks=1)
2026-09-03 09:56:54,426 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-09-03 09:56:58,618 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 4.19s (business reasoning)
2026-09-03 09:56:58,618 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Reconciling deterministic evidence against synthesized output
2026-09-03 09:56:58,628 | INFO | logic_rules_extractor.pipeline | Stage 6/6 completed in 0.01s (deterministic reconciliation)
2026-09-03 09:56:58,628 | INFO | logic_rules_extractor.pipeline | Stage 7/7: Applying output guardrails and formatting final report
2026-09-03 09:56:58,636 | INFO | logic_rules_extractor.pipeline | Stage 7/7 completed in 0.01s (final report generation)
