2026-09-03 09:56:59,309 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 09:56:59,310 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 09:56:59,310 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 09:56:59,310 | INFO | logic_rules_extractor.pipeline | Detected ORACLE dialect (confidence: medium)
2026-09-03 09:56:59,311 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.00s (dialect detection)
2026-09-03 09:56:59,311 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /Users/dishajain/Desktop/logic_rules_extractor/samples/provisioning_view.sql
2026-09-03 09:56:59,313 | INFO | logic_rules_extractor.pipeline | Detected ORACLE VIEW 'vw_active_npa_provisions' with 1 chunk(s)
2026-09-03 09:56:59,314 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.00s (preprocessing/parsing/chunking)
2026-09-03 09:56:59,314 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 09:56:59,316 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.00s
2026-09-03 09:57:01,496 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 2.18s total (kb_ready=0.00s, retrieval/KB sum=0.00s, LLM extraction sum=2.18s, workers=8, chunks=1)
2026-09-03 09:57:01,497 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-09-03 09:57:05,046 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 3.55s (business reasoning)
2026-09-03 09:57:05,046 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Reconciling deterministic evidence against synthesized output
2026-09-03 09:57:05,057 | INFO | logic_rules_extractor.pipeline | Stage 6/6 completed in 0.01s (deterministic reconciliation)
2026-09-03 09:57:05,057 | INFO | logic_rules_extractor.pipeline | Stage 7/7: Applying output guardrails and formatting final report
2026-09-03 09:57:05,064 | INFO | logic_rules_extractor.pipeline | Stage 7/7 completed in 0.01s (final report generation)
