2026-09-03 09:55:53,520 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 09:55:53,521 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 09:55:53,521 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 09:55:53,522 | INFO | logic_rules_extractor.pipeline | Detected ORACLE dialect (confidence: high)
2026-09-03 09:55:53,522 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.00s (dialect detection)
2026-09-03 09:55:53,522 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /Users/dishajain/Desktop/logic_rules_extractor/samples/batch_overdue_ageing_block.sql
2026-09-03 09:55:53,530 | INFO | logic_rules_extractor.pipeline | Detected ORACLE PLSQL_BLOCK 'ANONYMOUS_BLOCK' with 5 chunk(s)
2026-09-03 09:55:53,530 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.01s (preprocessing/parsing/chunking)
2026-09-03 09:55:53,530 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 09:55:53,541 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.01s
2026-09-03 09:55:56,685 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 3.16s total (kb_ready=0.01s, retrieval/KB sum=0.08s, LLM extraction sum=12.62s, workers=8, chunks=5)
2026-09-03 09:55:56,686 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-09-03 09:56:04,282 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 7.60s (business reasoning)
2026-09-03 09:56:04,282 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Reconciling deterministic evidence against synthesized output
2026-09-03 09:56:04,307 | INFO | logic_rules_extractor.pipeline | Stage 6/6 completed in 0.03s (deterministic reconciliation)
2026-09-03 09:56:04,307 | INFO | logic_rules_extractor.pipeline | Stage 7/7: Applying output guardrails and formatting final report
2026-09-03 09:56:04,318 | INFO | logic_rules_extractor.pipeline | Stage 7/7 completed in 0.01s (final report generation)
