2026-09-16 14:03:05,359 | INFO | src.batch.batch_runner | Batch item started: 01_NPA_Classification_Simple.sql
2026-09-16 14:03:05,359 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-16 14:03:05,361 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-16 14:03:05,361 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-16 14:03:05,364 | INFO | logic_rules_extractor.pipeline | Detected TSQL dialect (confidence: high)
2026-09-16 14:03:05,364 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.00s (dialect detection)
2026-09-16 14:03:05,364 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking samples/01_NPA_Classification_Simple.sql
2026-09-16 14:03:05,401 | INFO | logic_rules_extractor.pipeline | Detected TSQL PROCEDURE 'NPA_Classification_Simple' with 5 chunk(s)
2026-09-16 14:03:05,401 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.04s (preprocessing/parsing/chunking)
2026-09-16 14:03:05,401 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-16 14:03:05,430 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.03s
2026-09-16 14:03:05,434 | INFO | logic_rules_extractor.pipeline | Stage 4 extraction selection: estimated_tokens=4759 budget=297000 path=single-pass extraction_calls=1 merge_ran=False
2026-09-16 14:03:10,861 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 5.46s total (kb_ready=0.03s, retrieval/KB sum=0.00s, LLM extraction sum=5.42s, workers=8, chunks=1)
2026-09-16 14:03:10,861 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-09-16 14:03:10,918 | INFO | logic_rules_extractor.pipeline | Synthesis: 'NPA_Classification_Simple' exceeds the single-call output-token budget; running 3 section(s) aligned to extraction chunk boundaries instead of one call.
