2026-09-03 10:07:41,065 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 10:07:41,066 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 10:07:41,066 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 10:07:41,067 | INFO | logic_rules_extractor.pipeline | Detected ORACLE dialect (confidence: high)
2026-09-03 10:07:41,068 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.00s (dialect detection)
2026-09-03 10:07:41,068 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking samples/npa_classification.sql
2026-09-03 10:07:41,080 | INFO | logic_rules_extractor.pipeline | Detected ORACLE PROCEDURE 'classify_npa_and_provision' with 3 chunk(s)
2026-09-03 10:07:41,081 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.01s (preprocessing/parsing/chunking)
2026-09-03 10:07:41,081 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 10:07:41,084 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.00s
2026-09-03 10:07:46,004 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 4.92s total (kb_ready=0.00s, retrieval/KB sum=0.03s, LLM extraction sum=10.56s, workers=8, chunks=3)
2026-09-03 10:07:46,004 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
